DATE,DEXJPUS,DJIA
2012-06-11,79.5000,12411.23
2012-06-12,79.4400,12573.80
2012-06-13,79.3500,12496.38
2012-06-14,79.2900,12651.91
2012-06-15,78.6500,12767.17
2012-06-18,78.9500,12741.82
2012-06-19,78.9200,12837.33
2012-06-20,79.5400,12824.39
2012-06-21,80.1800,12573.57
2012-06-22,80.5200,12640.78
2012-06-25,79.5000,12502.66
2012-06-26,79.4600,12534.67
2012-06-27,79.8300,12627.01
2012-06-28,79.3500,12602.26
2012-06-29,79.8100,12880.09
2012-07-02,79.4200,12871.39
2012-07-03,79.7700,12943.82
2012-07-04,.,.
2012-07-05,79.9500,12896.67
2012-07-06,79.6100,12772.47
2012-07-09,79.6600,12736.29
2012-07-10,79.4400,12653.12
2012-07-11,79.7000,12604.53
2012-07-12,79.2900,12573.27
2012-07-13,79.2000,12777.09
2012-07-16,78.8000,12727.21
2012-07-17,79.0400,12805.54
2012-07-18,78.7900,12908.70
2012-07-19,78.6000,12943.36
2012-07-20,78.4900,12822.57
2012-07-23,78.3800,12721.46
2012-07-24,78.1900,12617.32
2012-07-25,78.2100,12676.05
2012-07-26,78.2400,12887.93
2012-07-27,78.5500,13075.66
2012-07-30,78.2000,13073.01
2012-07-31,78.1000,13008.68
2012-08-01,78.1900,12971.06
2012-08-02,78.2200,12878.88
2012-08-03,78.6000,13096.17
2012-08-06,78.1700,13117.51
2012-08-07,78.7100,13168.60
2012-08-08,78.4400,13175.64
2012-08-09,78.6400,13165.19
2012-08-10,78.2400,13207.95
2012-08-13,78.3400,13169.43
2012-08-14,78.8200,13172.14
2012-08-15,78.8900,13164.78
2012-08-16,79.2500,13250.11
2012-08-17,79.5000,13275.20
2012-08-20,79.4100,13271.64
2012-08-21,79.4300,13203.58
2012-08-22,79.1900,13172.76
2012-08-23,78.4600,13057.46
2012-08-24,78.6500,13157.97
2012-08-27,78.6700,13124.67
2012-08-28,78.5000,13102.99
2012-08-29,78.7200,13107.48
2012-08-30,78.5500,13000.71
2012-08-31,78.3000,13090.84
2012-09-03,.,.
2012-09-04,78.3500,13035.94
2012-09-05,78.3400,13047.48
2012-09-06,78.9600,13292.00
2012-09-07,78.1400,13306.64
2012-09-10,78.2400,13254.29
2012-09-11,77.7800,13323.36
2012-09-12,77.8600,13333.35
2012-09-13,77.4100,13539.86
2012-09-14,78.2200,13593.37
2012-09-17,78.6800,13553.10
2012-09-18,78.5900,13564.64
2012-09-19,78.4000,13577.96
2012-09-20,78.3000,13596.93
2012-09-21,78.1700,13579.47
2012-09-24,77.9000,13558.92
2012-09-25,77.9100,13457.55
2012-09-26,77.7800,13413.51
2012-09-27,77.6200,13485.97
2012-09-28,77.9200,13437.13
2012-10-01,78.0000,13515.11
2012-10-02,78.0100,13482.36
2012-10-03,78.5700,13494.61
2012-10-04,78.4400,13575.36
2012-10-05,78.6600,13610.15
2012-10-08,.,13583.65
2012-10-09,78.2300,13473.53
2012-10-10,78.2600,13344.97
2012-10-11,78.4400,13326.39
2012-10-12,78.3100,13328.85
2012-10-15,78.7600,13424.23
2012-10-16,78.9200,13551.78
2012-10-17,78.7400,13557.00
2012-10-18,79.2400,13548.94
2012-10-19,79.2600,13343.51
2012-10-22,79.8400,13345.89
2012-10-23,79.7900,13102.53
2012-10-24,79.8200,13077.34
2012-10-25,80.0400,13103.68
2012-10-26,79.6300,13107.21
2012-10-29,79.8100,.
2012-10-30,79.5800,.
2012-10-31,79.9400,13096.46
2012-11-01,80.1400,13232.62
2012-11-02,80.5300,13093.16
2012-11-05,80.1700,13112.44
2012-11-06,80.2800,13245.68
2012-11-07,79.8500,12932.73
2012-11-08,79.7400,12811.32
2012-11-09,79.4600,12815.39
2012-11-12,.,12815.08
2012-11-13,79.4200,12756.18
2012-11-14,80.2000,12570.95
2012-11-15,81.1600,12542.38
2012-11-16,81.2800,12588.31
2012-11-19,81.1800,12795.96
2012-11-20,81.7200,12788.51
2012-11-21,82.3600,12836.89
2012-11-22,.,.
2012-11-23,82.3400,13009.68
2012-11-26,82.1100,12967.37
2012-11-27,82.2300,12878.13
2012-11-28,81.8400,12985.11
2012-11-29,82.0600,13021.82
2012-11-30,82.5400,13025.58
2012-12-03,82.2400,12965.60
2012-12-04,81.8600,12951.78
2012-12-05,82.4000,13034.49
2012-12-06,82.2900,13074.04
2012-12-07,82.3700,13155.13
2012-12-10,82.3700,13169.88
2012-12-11,82.4200,13248.44
2012-12-12,83.1000,13245.45
2012-12-13,83.5400,13170.72
2012-12-14,83.5200,13135.01
2012-12-17,83.7000,13235.39
2012-12-18,84.0000,13350.96
2012-12-19,84.3200,13251.97
2012-12-20,84.3300,13311.72
2012-12-21,84.1000,13190.84
2012-12-24,84.8100,13139.08
2012-12-25,.,.
2012-12-26,85.6200,13114.59
2012-12-27,86.0600,13096.31
2012-12-28,86.1200,12938.11
2012-12-31,86.6400,13104.14
2013-01-01,.,.
2013-01-02,87.1000,13412.55
2013-01-03,86.9200,13391.36
2013-01-04,88.1400,13435.21
2013-01-07,87.6800,13384.29
2013-01-08,87.3100,13328.85
2013-01-09,87.9000,13390.51
2013-01-10,88.1600,13471.22
2013-01-11,89.2200,13488.43
2013-01-14,89.3400,13507.32
2013-01-15,88.6500,13534.89
2013-01-16,88.6400,13511.23
2013-01-17,89.4100,13596.02
2013-01-18,89.9000,13649.70
2013-01-21,.,.
2013-01-22,88.6200,13712.21
2013-01-23,88.4400,13779.33
2013-01-24,90.0400,13825.33
2013-01-25,91.0400,13895.98
2013-01-28,90.7300,13881.93
2013-01-29,90.6500,13954.42
2013-01-30,91.0500,13910.42
2013-01-31,91.2800,13860.58
2013-02-01,92.5400,14009.79
2013-02-04,92.5700,13880.08
2013-02-05,93.3400,13979.30
2013-02-06,93.5600,13986.52
2013-02-07,93.2400,13944.05
2013-02-08,92.7200,13992.97
2013-02-11,93.4400,13971.24
2013-02-12,93.1400,14018.70
2013-02-13,93.3900,13982.91
2013-02-14,93.1000,13973.39
2013-02-15,93.6400,13981.76
2013-02-18,.,.
2013-02-19,93.5400,14035.67
2013-02-20,93.5300,13927.54
2013-02-21,92.9600,13880.62
2013-02-22,93.3500,14000.57
2013-02-25,93.3500,13784.17
2013-02-26,91.3800,13900.13
2013-02-27,91.8800,14075.37
2013-02-28,92.3600,14054.49
2013-03-01,93.3800,14089.66
2013-03-04,93.3200,14127.82
2013-03-05,93.3900,14253.77
2013-03-06,93.6400,14296.24
2013-03-07,95.0000,14329.49
2013-03-08,96.0000,14397.07
2013-03-11,96.1200,14447.29
2013-03-12,95.9600,14450.06
2013-03-13,96.0000,14455.28
2013-03-14,96.1600,14539.14
2013-03-15,95.2600,14514.11
2013-03-18,94.9200,14452.06
2013-03-19,94.8500,14455.82
2013-03-20,95.5100,14511.73
2013-03-21,95.0600,14421.49
2013-03-22,94.4800,14512.03
2013-03-25,94.3400,14447.75
2013-03-26,94.2200,14559.65
2013-03-27,94.3800,14526.16
2013-03-28,94.0200,14578.54
2013-03-29,94.1600,.
2013-04-01,93.3000,14572.85
2013-04-02,93.4300,14662.01
2013-04-03,92.9600,14550.35
2013-04-04,96.1200,14606.11
2013-04-05,96.8600,14565.25
2013-04-08,98.9000,14613.48
2013-04-09,99.0200,14673.46
2013-04-10,99.6100,14802.24
2013-04-11,99.4200,14865.14
2013-04-12,98.9800,14865.06
2013-04-15,98.0000,14599.20
2013-04-16,97.8600,14756.78
2013-04-17,97.7400,14618.59
2013-04-18,98.2200,14537.14
2013-04-19,99.2800,14547.51
2013-04-22,99.2900,14567.17
2013-04-23,99.4300,14719.46
2013-04-24,99.3900,14676.30
2013-04-25,99.4200,14700.80
2013-04-26,97.8400,14712.55
2013-04-29,98.0900,14818.75
2013-04-30,97.5200,14839.80
2013-05-01,97.2800,14700.95
2013-05-02,97.9600,14831.58
2013-05-03,99.1000,14973.96
2013-05-06,99.3500,14968.89
2013-05-07,99.0000,15056.20
2013-05-08,98.9000,15105.12
2013-05-09,99.2900,15082.62
2013-05-10,101.7400,15118.49
2013-05-13,101.8400,15091.68
2013-05-14,102.1800,15215.25
2013-05-15,102.4400,15275.69
2013-05-16,102.2200,15233.22
2013-05-17,102.9800,15354.40
2013-05-20,102.5400,15335.28
2013-05-21,102.3600,15387.58
2013-05-22,103.5200,15307.17
2013-05-23,101.6600,15294.50
2013-05-24,100.9800,15303.10
2013-05-27,.,.
2013-05-28,102.0700,15409.39
2013-05-29,100.9100,15302.80
2013-05-30,101.0600,15324.53
2013-05-31,100.8300,15115.57
2013-06-03,99.1800,15254.03
2013-06-04,100.1500,15177.54
2013-06-05,99.1600,14960.59
2013-06-06,97.7600,15040.62
2013-06-07,97.2000,15248.12
2013-06-10,98.8800,15238.59
2013-06-11,96.8200,15122.02
2013-06-12,95.3600,14995.23
2013-06-13,94.2900,15176.08
2013-06-14,94.3400,15070.18
2013-06-17,94.8700,15179.85
2013-06-18,95.2000,15318.23
2013-06-19,95.2200,15112.19
2013-06-20,98.1800,14758.32
2013-06-21,97.4800,14799.40
2013-06-24,97.7000,14659.56
2013-06-25,97.8700,14760.31
2013-06-26,97.4300,14910.14
2013-06-27,98.4000,15024.49
2013-06-28,99.2100,14909.60
2013-07-01,99.6200,14974.96
2013-07-02,100.4300,14932.41
2013-07-03,99.8200,14988.55
2013-07-04,.,.
2013-07-05,100.9400,15135.84
2013-07-08,101.0700,15224.69
2013-07-09,101.0800,15300.34
2013-07-10,100.1000,15291.66
2013-07-11,98.8000,15460.92
2013-07-12,99.3900,15464.30
2013-07-15,100.0400,15484.26
2013-07-16,99.3700,15451.85
2013-07-17,99.7000,15470.52
2013-07-18,100.6000,15548.54
2013-07-19,100.3000,15543.74
2013-07-22,99.6000,15545.55
2013-07-23,99.7600,15567.74
2013-07-24,100.2100,15542.24
2013-07-25,99.5600,15555.61
2013-07-26,98.2400,15558.83
2013-07-29,97.8000,15521.97
2013-07-30,98.0200,15520.59
2013-07-31,98.3500,15499.54
2013-08-01,99.3000,15628.02
2013-08-02,99.0400,15658.36
2013-08-05,98.5400,15612.13
2013-08-06,97.8500,15518.74
2013-08-07,96.7200,15470.67
2013-08-08,96.0300,15498.32
2013-08-09,96.2400,15425.51
2013-08-12,96.4400,15419.68
2013-08-13,98.0600,15451.01
2013-08-14,98.1500,15337.66
2013-08-15,97.8100,15112.19
2013-08-16,97.6000,15081.47
2013-08-19,97.9400,15010.74
2013-08-20,97.1200,15002.99
2013-08-21,97.6600,14897.55
2013-08-22,98.5300,14963.74
2013-08-23,98.5700,15010.51
